"Nefen","Rogerson","nrogerson0@tumblr.com","Human Resources","28","Colorado","3XL","Weekly","McSparran","GMC","null","Teal","Comedy|Drama|Musical"
"Kippar","Saffin","ksaffin1@si.edu","Human Resources","292","California","2XL","Once","Ferrelli","Chrysler","Pashto","Green","Drama"
"Panchito","Crichley","pcrichley2@wired.com","Engineering","178","California","XL","Monthly","Ragsdall","Ford","null","Yellow","Comedy|Romance"
"Skippy","McTavy","smctavy3@friendfeed.com","Sales","304","Illinois","S","Monthly","null","GMC","null","Puce","Action|Drama|Mystery|Sci-Fi|Thriller|IMAX"
"Trudie","Codner","tcodner4@newyorker.com","Business Development","219","Florida","M","Weekly","Spitell","Suzuki","Swati","Purple","Children|Comedy|Fantasy|Romance"
"Valentia","Padwick","vpadwick5@amazonaws.com","Engineering","100","Louisiana","3XL","Weekly","Pettersen","Chevrolet","null","Puce","Action|Adventure|Romance|Thriller"
"Gale","Hotchkin","ghotchkin6@com.com","Legal","255","Michigan","XS","Yearly","Hanretty","Mercedes-Benz","null","Crimson","Drama"
"Yovonnda","Habgood","yhabgood7@imageshack.us","Marketing","368","Oklahoma","M","Once","null","Hyundai","null","Blue","Drama"
"Jazmin","Lubomirski","jlubomirski8@sourceforge.net","Human Resources","395","Oregon","M","Monthly","Adamthwaite","null","null","Crimson","Action|Drama|War"
"Carmina","Kluge","ckluge9@yahoo.co.jp","Services","358","California","XS","Monthly","Eddington","GMC","null","Crimson","Drama"
"Irena","Kennaird","ikennairda@mail.ru","Services","386","California","3XL","Yearly","Elger","BMW","Indonesian","Purple","Action|Horror|Sci-Fi"
"Kathi","Sissens","ksissensb@theglobeandmail.com","Accounting","423","Louisiana","3XL","Weekly","Nolot","Porsche","null","Violet","Drama"
"Saw","Guiraud","sguiraudc@simplemachines.org","Legal","468","Oregon","3XL","Once","Gorler","Chevrolet","null","Orange","Comedy|Crime|Mystery"
"Joanie","Broadhurst","jbroadhurstd@youku.com","Sales","58","Ohio","M","Weekly","Rexworthy","Lincoln","null","Green","Crime|Drama|Film-Noir"
